trace,predictor,IPC,MPKI
600.perlbench_s-1273B.champsimtrace.xz,gap,1.934,2.927
602.gcc_s-1850B.champsimtrace.xz,gap,0.2388,19.82
605.mcf_s-1536B.champsimtrace.xz,gap,0.2574,0.04933
607.cactuBSSN_s-2421B.champsimtrace.xz,gap,1.527,0.7327
619.lbm_s-2676B.champsimtrace.xz,gap,0.5994,0.4707
620.omnetpp_s-141B.champsimtrace.xz,gap,0.2276,13.67
621.wrf_s-575B.champsimtrace.xz,gap,1.191,8.344
623.xalancbmk_s-165B.champsimtrace.xz,gap,0.4154,9.713
625.x264_s-12B.champsimtrace.xz,gap,2.247,2.379
627.cam4_s-490B.champsimtrace.xz,gap,1.389,5.96
628.pop2_s-17B.champsimtrace.xz,gap,0.9709,4.517
631.deepsjeng_s-928B.champsimtrace.xz,gap,0.9643,14.05
638.imagick_s-10316B.champsimtrace.xz,gap,3.346,0.3227
641.leela_s-149B.champsimtrace.xz,gap,1.016,19.62
644.nab_s-12459B.champsimtrace.xz,gap,1.03,11.81
648.exchange2_s-387B.champsimtrace.xz,gap,1.656,12.38
649.fotonik3d_s-1176B.champsimtrace.xz,gap,0.5947,0.006667
654.roms_s-293B.champsimtrace.xz,gap,2.012,0.008
600.perlbench_s-1273B.champsimtrace.xz,pap,1.937,2.513
602.gcc_s-1850B.champsimtrace.xz,pap,0.2738,9.857
605.mcf_s-1536B.champsimtrace.xz,pap,0.2573,0.032
607.cactuBSSN_s-2421B.champsimtrace.xz,pap,1.527,0.736
619.lbm_s-2676B.champsimtrace.xz,pap,0.6008,0.2753
620.omnetpp_s-141B.champsimtrace.xz,pap,0.2165,15.5
621.wrf_s-575B.champsimtrace.xz,pap,1.228,6.91
623.xalancbmk_s-165B.champsimtrace.xz,pap,0.4154,9.713
625.x264_s-12B.champsimtrace.xz,pap,2.467,0.2787
627.cam4_s-490B.champsimtrace.xz,pap,1.37,6.399
628.pop2_s-17B.champsimtrace.xz,pap,0.956,4.847
631.deepsjeng_s-928B.champsimtrace.xz,pap,0.9197,16.27
638.imagick_s-10316B.champsimtrace.xz,pap,3.343,0.3513
641.leela_s-149B.champsimtrace.xz,pap,0.976,21.53
644.nab_s-12459B.champsimtrace.xz,pap,1.158,8.287
648.exchange2_s-387B.champsimtrace.xz,pap,1.626,12.86
649.fotonik3d_s-1176B.champsimtrace.xz,pap,0.5947,0.01
654.roms_s-293B.champsimtrace.xz,pap,2.012,0.01
600.perlbench_s-1273B.champsimtrace.xz,gag,1.932,2.836
602.gcc_s-1850B.champsimtrace.xz,gag,0.2744,9.113
605.mcf_s-1536B.champsimtrace.xz,gag,0.2573,0.04067
607.cactuBSSN_s-2421B.champsimtrace.xz,gag,1.531,0.912
619.lbm_s-2676B.champsimtrace.xz,gag,0.5998,0.2767
620.omnetpp_s-141B.champsimtrace.xz,gag,0.2182,16.55
621.wrf_s-575B.champsimtrace.xz,gag,1.207,7.691
623.xalancbmk_s-165B.champsimtrace.xz,gag,0.3828,12.77
625.x264_s-12B.champsimtrace.xz,gag,2.348,1.081
627.cam4_s-490B.champsimtrace.xz,gag,1.384,6.225
628.pop2_s-17B.champsimtrace.xz,gag,0.956,4.575
631.deepsjeng_s-928B.champsimtrace.xz,gag,0.8904,17.79
638.imagick_s-10316B.champsimtrace.xz,gag,3.346,0.3273
641.leela_s-149B.champsimtrace.xz,gag,0.9322,23.35
644.nab_s-12459B.champsimtrace.xz,gag,1.205,7.272
648.exchange2_s-387B.champsimtrace.xz,gag,1.674,12.0
649.fotonik3d_s-1176B.champsimtrace.xz,gag,0.5947,0.01467
654.roms_s-293B.champsimtrace.xz,gag,2.012,0.008
600.perlbench_s-1273B.champsimtrace.xz,bimodal,1.923,3.152
602.gcc_s-1850B.champsimtrace.xz,bimodal,0.2384,19.85
605.mcf_s-1536B.champsimtrace.xz,bimodal,0.2574,0.04933
607.cactuBSSN_s-2421B.champsimtrace.xz,bimodal,1.529,0.7313
619.lbm_s-2676B.champsimtrace.xz,bimodal,0.5994,0.4707
620.omnetpp_s-141B.champsimtrace.xz,bimodal,0.2265,14.11
621.wrf_s-575B.champsimtrace.xz,bimodal,1.182,8.524
623.xalancbmk_s-165B.champsimtrace.xz,bimodal,0.4154,9.713
625.x264_s-12B.champsimtrace.xz,bimodal,2.248,2.372
627.cam4_s-490B.champsimtrace.xz,bimodal,1.297,8.131
628.pop2_s-17B.champsimtrace.xz,bimodal,0.9636,4.701
631.deepsjeng_s-928B.champsimtrace.xz,bimodal,0.9147,16.3
638.imagick_s-10316B.champsimtrace.xz,bimodal,3.346,0.3213
641.leela_s-149B.champsimtrace.xz,bimodal,0.9637,21.91
644.nab_s-12459B.champsimtrace.xz,bimodal,0.9796,13.2
648.exchange2_s-387B.champsimtrace.xz,bimodal,1.146,24.4
649.fotonik3d_s-1176B.champsimtrace.xz,bimodal,0.5947,0.004667
654.roms_s-293B.champsimtrace.xz,bimodal,2.012,0.008
