trace,replacement,IPC,l2_miss_rate
600.perlbench_s-1273B.champsimtrace.xz,lru_lip,2.14,0.6776712023198751
602.gcc_s-1850B.champsimtrace.xz,lru_lip,0.2383,0.7395527608759314
605.mcf_s-1536B.champsimtrace.xz,lru_lip,0.2409,0.7796409815601005
607.cactuBSSN_s-2421B.champsimtrace.xz,lru_lip,1.392,0.3938026856751409
619.lbm_s-2676B.champsimtrace.xz,lru_lip,0.4932,0.8624906381550064
620.omnetpp_s-141B.champsimtrace.xz,lru_lip,0.2755,0.6579241921554816
621.wrf_s-575B.champsimtrace.xz,lru_lip,1.173,0.5265760197775031
623.xalancbmk_s-165B.champsimtrace.xz,lru_lip,0.8655,0.8037933983814329
625.x264_s-12B.champsimtrace.xz,lru_lip,2.386,0.6435233764719599
627.cam4_s-490B.champsimtrace.xz,lru_lip,1.081,0.6906843148194464
628.pop2_s-17B.champsimtrace.xz,lru_lip,1.224,0.33200669289654877
631.deepsjeng_s-928B.champsimtrace.xz,lru_lip,1.08,0.28969251058513223
638.imagick_s-10316B.champsimtrace.xz,lru_lip,3.321,0.021643302757232943
641.leela_s-149B.champsimtrace.xz,lru_lip,0.9541,0.443336044036507
644.nab_s-12459B.champsimtrace.xz,lru_lip,1.381,0.10404042225749051
648.exchange2_s-387B.champsimtrace.xz,lru_lip,1.259,0.05035439405139801
649.fotonik3d_s-1176B.champsimtrace.xz,lru_lip,0.3962,0.6722501285092031
654.roms_s-293B.champsimtrace.xz,lru_lip,1.323,0.7035976477574856
600.perlbench_s-1273B.champsimtrace.xz,lru_bip,2.14,0.6776712023198751
602.gcc_s-1850B.champsimtrace.xz,lru_bip,0.2381,0.7395501426394853
605.mcf_s-1536B.champsimtrace.xz,lru_bip,0.2443,0.5541390052723912
607.cactuBSSN_s-2421B.champsimtrace.xz,lru_bip,1.413,0.2593196353479595
619.lbm_s-2676B.champsimtrace.xz,lru_bip,0.4863,0.8208963980006357
620.omnetpp_s-141B.champsimtrace.xz,lru_bip,0.2749,0.6453896088627983
621.wrf_s-575B.champsimtrace.xz,lru_bip,1.173,0.5265760197775031
623.xalancbmk_s-165B.champsimtrace.xz,lru_bip,0.7838,0.8140234484178938
625.x264_s-12B.champsimtrace.xz,lru_bip,2.384,0.6516847382534686
